date,New South Wales_Northern NSW,New South Wales_Western Sydney,South Australia_Eyre and Far North
2035-12-11,4.8537908,5.101188,4.853479
2035-12-12,4.9369717,4.9043064,4.934158
2035-12-13,5.0695095,4.9086146,5.05103
2035-12-14,5.2212434,5.2646036,5.1984887
2035-12-15,5.6859336,5.9846463,5.66588
2035-12-16,6.0885596,6.1949883,6.063497
2035-12-17,5.6297817,5.724766,5.652426
2035-12-18,5.534893,5.6058435,5.5180316
2035-12-19,5.4366574,5.535088,5.4164596
2035-12-20,7.0367556,6.949508,6.9928994
2035-12-21,7.295045,7.219223,7.266845
2035-12-22,7.2988653,7.373386,7.2908063
2035-12-23,6.768416,6.8027344,6.73341
2035-12-24,6.5668964,6.6045594,6.535257
2035-12-25,6.3787565,6.637761,6.3683276
2035-12-26,6.7774887,6.9476523,6.7733984
2035-12-27,6.282485,6.3248334,6.2944884
2035-12-28,5.6454935,5.866353,5.665498
2035-12-29,5.8498135,5.8543367,5.8216977
2035-12-30,6.248075,6.3584466,6.2331457
2035-12-31,7.887528,7.843694,7.8626494
2036-01-01,5.6096773,5.6792245,5.647736
2036-01-02,7.112155,6.923359,7.054084
2036-01-03,5.6750193,5.742243,5.677617
2036-01-04,5.7136517,5.944658,5.702327
2036-01-05,6.300646,6.19761,6.2644053
2036-01-06,6.4989033,6.545438,6.499046
2036-01-07,6.298434,6.4058943,6.2950563
2036-01-08,6.398316,6.6230583,6.3844357
2036-01-09,6.114849,6.1592746,6.1134095
2036-01-10,5.342891,5.511992,5.348519
2036-01-11,5.3287535,5.523216,5.311339
2036-01-12,6.732025,6.747426,6.7010493
2036-01-13,5.942343,5.9528575,5.940494
2036-01-14,6.2057447,6.250292,6.19061
2036-01-15,6.2344112,6.4130063,6.20609
2036-01-16,6.4818335,6.6198363,6.4699197
2036-01-17,6.9649334,6.982054,6.9419856
2036-01-18,6.169486,5.950582,6.1350007
2036-01-19,4.8022995,5.0590363,4.817629
2036-01-20,5.8399763,5.947961,5.852307
2036-01-21,5.7942677,5.9842014,5.7857165
2036-01-22,7.145943,7.2767186,7.1244874
2036-01-23,7.6980815,7.8253775,7.6852307
2036-01-24,7.9155993,8.036716,7.9411597
2036-01-25,5.912881,6.057411,5.940286
2036-01-26,5.6699867,5.8749595,5.678484
2036-01-27,5.689596,5.7767615,5.680865
2036-01-28,6.049365,6.2451673,6.0597067
2036-01-29,5.888327,6.1682296,5.890413
2036-01-30,6.450621,6.485679,6.401218
2036-01-31,5.5074024,5.5677314,5.475831
2036-02-01,5.333933,5.538337,5.31605
2036-02-02,8.803545,8.649372,8.732073
2036-02-03,4.9391346,5.088329,4.9330354
2036-02-04,5.8875613,5.9093795,5.8479686
2036-02-05,5.097383,5.287796,5.1018934
2036-02-06,6.0688343,5.98638,6.052161
2036-02-07,5.918599,6.095385,5.926207
2036-02-08,6.1104355,6.1878567,6.0782747
2036-02-09,8.767527,8.20734,8.677674
2036-02-10,5.2410593,5.3764334,5.2575397
2036-02-11,6.091732,6.296179,6.1070657
2036-02-12,5.7382894,5.7983723,5.725046
2036-02-13,5.643459,5.721843,5.654799
2036-02-14,6.0337424,6.194233,6.073745
2036-02-15,5.365804,5.6848197,5.4343576
2036-02-16,5.3561707,5.5722837,5.382238
2036-02-17,5.7987905,5.9619884,5.7607837
2036-02-18,6.721346,6.824566,6.7146783
2036-02-19,6.3271065,6.2430334,6.2920074
2036-02-20,5.272953,5.4151163,5.2522955
2036-02-21,5.3978434,5.3528986,5.379622
2036-02-22,5.6500096,5.7713704,5.639448
2036-02-23,5.6179404,5.74508,5.591286
2036-02-24,4.9207134,4.9885488,4.9043593
2036-02-25,4.7335243,4.80354,4.714999
2036-02-26,4.871479,5.017217,4.8713026
2036-02-27,4.760716,4.8590655,4.7742267
2036-02-28,4.985229,5.137941,4.9614935
2036-02-29,5.585558,5.5646877,5.538202
2036-03-01,5.727014,5.746343,5.69486
2036-03-02,4.7242045,4.877385,4.727073
2036-03-03,5.1883955,5.283064,5.1684422
2036-03-04,5.329313,5.490822,5.328171
2036-03-05,5.568057,5.7266164,5.552077
2036-03-06,7.1284523,7.2057347,7.061276
2036-03-07,6.2029057,6.2562966,6.1609426
2036-03-08,7.6304007,7.691246,7.5926886
2036-03-09,7.6301093,7.824716,7.618614
2036-03-10,6.4169383,6.3565545,6.376167
2036-03-11,5.3748574,5.379974,5.3560157
2036-03-12,4.738068,4.823243,4.7418246
2036-03-13,4.8753276,5.0477057,4.8452015
2036-03-14,7.1401424,7.1051216,7.084512
2036-03-15,5.0355678,5.095991,5.0275555
2036-03-16,4.7119007,4.7337203,4.692605
2036-03-17,4.96307,5.018693,4.9274907
2036-03-18,5.5131707,5.653077,5.4731803
2036-03-19,5.465533,5.6993585,5.431766
2036-03-20,5.2573104,5.458748,5.247956
2036-03-21,5.6903706,5.881191,5.676638
2036-03-22,5.2894983,5.5283976,5.277379
